Category,CounterSpeech,commentText,date,hasReplies,id,likes,numberOfReplies,timestamp,user,Community,replies
Default,False,she is one of the last brave white women with a brain!,5 years ago,0.0,Ugw-_mfnTo9SUniGGTN4AaABAg,0,0.0,2012-12-05 09:13:58.535,Ik hou van surfen,jews,[]
Default,False,AMEN PASTOR!!!!!!!!,2 years ago,0.0,UgiMOgO3u4akkngCoAEC,0,0.0,2015-12-05 04:47:36.420,julius smith,lgbt,[]
"2,8",True,What kind of God is it that Hates people & Curses them? What kind of people believe in such a God? Is this one of the roots of IslamicFundamentalism? What will happen when Muslims have xterminated all the Jews? Will they find others that their God Hates & Persecute them also? What a strange religion! It seems to be a religion of Hatred. Muslims seem to hate all those not of their faith.With such religious beliefs there can never be peace among mankind.,4 years ago,0.0,UgzemCMbg-ri1ri7sCt4AaABAg,0,0.0,2013-12-05 09:16:05.293,gary wersley,jews,[]
8,True,"Question - Which comment is racist and why?
 * Jews are the smartest group of people in the world.
 * Blacks are the dumbest group of people in the world.

One is a compliment and the other an insult.  Wouldn't you agree that BOTH reflect racist thinking and should be avoided?",3 years ago,0.0,UghFhzrURF1svHgCoAEC,0,0.0,2015-01-05 16:27:25.589,Les Ordway,jews,[]
8,True,"That Israel fail that is nothing new. That Israel is a rebelious nation that is nothing new. In all that, this is not about Jews doing the job, because the Jews are just humans, it is God that is the Saviour and He alone saves all of us. The number of sins of Israel will not make any less the love that God has for His people Israel. Let the one that came to Muhammad reveal himself whom it really is. It is written ""Satan himself masquerades as an angel of light"". Satan your time is nearly over.",5 years ago,0.0,Ugzr50sQdH0Ictuex214AaABAg,0,0.0,2012-12-05 09:17:14.596,HamalachMichael,jews,[]
Default,False,Respect Kirk Cameron!!!!,2 years ago,1.0,UgjMUWi8Ca7VfngCoAEC,2,1.0,2015-12-05 04:44:29.957,Mr. Guitar,lgbt,[]
9,True,"This god damned ignorant little prick doesn't know that anything that occurs in nature is NATURAL.  Jesusfuckingchrist, what a goofy little prick.",1 year ago,1.0,UggLsR0081HZaXgCoAEC,1,26.0,2016-12-05 04:43:05.652,Karl Schneider,lgbt,[]
Default,False,"@miladmeah I'm a muslim dude, and I don't think you're stupid (or a lot of people, lol). You're just infuriated because you find it hard to understand muslims.
Saying that Jesus (aka Yeesa a' Salam) is the Son of God (thobasthafar) is just a misconception that the Christians made. True, Jesus did not have a father, but at the same time God is not the direct, biological, physical parent.
I have read the bible. You're missing a prophet :) If you read taura, bible and quran they all come together.",6 years ago,0.0,UgyxtAb-tTWRGaDR8mx4AaABAg,0,0.0,2011-12-05 09:17:16.904,KTech,jews,[]
Default,False,"He's speaking through the cops eyes by saying ""he's an angry black guy"" he's being sarcastic n saying that's how the world judges us and people r scared of your skin color. He's not being racist",3 weeks ago,0.0,UgzIjQyOx4AjtpAG6Th4AaABAg,0,0.0,2017-11-22 05:29:42.203,Diva 52,black,[]
2,True,"our shit may be cooler but... police brutality, people assuming your  criminal, stereotypes,",1 month ago,0.0,UgwOyox1ZnBR23auiDx4AaABAg,0,0.0,2017-11-08 04:47:41.219,thats none,black,[]
5,True,you talk a lot of shit you disgrace,10 years ago,0.0,UgzNu7WvoFrqterLsHB4AaABAg,0,0.0,2007-12-05 09:46:40.614,halpyman,jews,[]
7,True,"What the fuck is wrong with people? You know what, while we're at it, let's discriminate against people who like the color green. Those fucking green-likers, killing off the dinosaurs.",3 years ago,0.0,UggbDeA7GgyT1XgCoAEC,1,0.0,2015-01-05 16:27:05.259,Efluffthefluffy,jews,[]
Default,False,"@tigersforchrist it was also told in surah al mai'da 5:116 that ""And behold! Allah will say: ""O Jesus the son of Mary! Didst thou say unto men, worship me and my mother as gods in derogation of Allah.?"" He will say: ""Glory to Thee! never could I say what I had no right (to say). Had I said such a thing, thou wouldst indeed have known it. Thou knowest what is in my heart, Thou I know not what is in Thine. For Thou knowest in full all that is hidden.",5 years ago,0.0,UgzcqrY7uW6TRGDJLoF4AaABAg,0,0.0,2012-12-05 09:17:12.535,yousif11able,jews,[]
Default,False,"Pagan Arabs did build Kaaba, & they also built more than one.Mecca was not the only one.
Pagan Arabs did build Mecca.
Pagan Arabs were guardians of the Meccan Kaaba.Members of Muhammads own tribe & family were Pagans & guardians of the Kaaba.
The rituals performed by Muslims today at Mecca are much the same as practiced by Pagans bfore the time of Muhammad.
It seems that it was Muhammad who copied from Pagans,bcos he adopted their Kaaba Black Stone & ritual practices.Pagans never prayed to Idols",4 years ago,0.0,Ugy29eagnCGD93aKlMJ4AaABAg,0,0.0,2013-12-05 09:16:12.910,gary wersley,jews,[]
