Category,CounterSpeech,commentText,date,hasReplies,id,likes,numberOfReplies,timestamp,user,Community,replies
Default,False,last brave white women brain,5 years ago,0.0,Ugw-_mfnTo9SUniGGTN4AaABAg,0,0.0,2012-12-05 09:13:58.535,Ik hou van surfen,jews,[]
Default,False,amen pastor,2 years ago,0.0,UgiMOgO3u4akkngCoAEC,0,0.0,2015-12-05 04:47:36.420,julius smith,lgbt,[]
"2,8",True,kind god hates people curses kind people believe god roots islamicfundamentalism happen muslims xterminated jews find others god hates persecute strange religion seems religion hatred muslims seem hate faithwith religious beliefs never peace among mankind,4 years ago,0.0,UgzemCMbg-ri1ri7sCt4AaABAg,0,0.0,2013-12-05 09:16:05.293,gary wersley,jews,[]
8,True,question comment racist jews smartest group people world blacks dumbest group people world compliment insult wouldnt agree reflect racist thinking avoided,3 years ago,0.0,UghFhzrURF1svHgCoAEC,0,0.0,2015-01-05 16:27:25.589,Les Ordway,jews,[]
8,True,israel fail nothing new israel rebelious nation nothing new jews job jews humans god saviour alone saves us number sins israel make less love god people israel let came muhammad reveal really written satan masquerades angel light satan time nearly,5 years ago,0.0,Ugzr50sQdH0Ictuex214AaABAg,0,0.0,2012-12-05 09:17:14.596,HamalachMichael,jews,[]
Default,False,respect kirk cameron,2 years ago,1.0,UgjMUWi8Ca7VfngCoAEC,2,1.0,2015-12-05 04:44:29.957,Mr. Guitar,lgbt,[]
9,True,god damned ignorant little prick doesnt know anything occurs nature natural jesusfuckingchrist goofy little prick,1 year ago,1.0,UggLsR0081HZaXgCoAEC,1,26.0,2016-12-05 04:43:05.652,Karl Schneider,lgbt,[]
Default,False,miladmeah muslim dude dont think youre stupid lot people lol youre infuriated find hard understand muslims saying jesus aka yeesa salam god thobasthafar misconception christians made true jesus father time god direct biological physical parent read bible youre missing prophet read taura bible quran together,6 years ago,0.0,UgyxtAb-tTWRGaDR8mx4AaABAg,0,0.0,2011-12-05 09:17:16.904,KTech,jews,[]
Default,False,hes speaking cops eyes saying hes angry black guy hes sarcastic saying thats world judges us people r scared skin color hes racist,3 weeks ago,0.0,UgzIjQyOx4AjtpAG6Th4AaABAg,0,0.0,2017-11-22 05:29:42.203,Diva 52,black,[]
2,True,shit may cooler police brutality people assuming criminal stereotypes,1 month ago,0.0,UgwOyox1ZnBR23auiDx4AaABAg,0,0.0,2017-11-08 04:47:41.219,thats none,black,[]
5,True,talk lot shit disgrace,10 years ago,0.0,UgzNu7WvoFrqterLsHB4AaABAg,0,0.0,2007-12-05 09:46:40.614,halpyman,jews,[]
7,True,fuck wrong people know lets discriminate people like color green fucking greenlikers killing dinosaurs,3 years ago,0.0,UggbDeA7GgyT1XgCoAEC,1,0.0,2015-01-05 16:27:05.259,Efluffthefluffy,jews,[]
Default,False,tigersforchrist told surah maida behold allah say jesus mary didst thou say unto worship mother gods derogation allah say glory thee never could say right say said thing thou wouldst indeed known thou knowest heart thou know thine thou knowest full hidden,5 years ago,0.0,UgzcqrY7uW6TRGDJLoF4AaABAg,0,0.0,2012-12-05 09:17:12.535,yousif11able,jews,[]
Default,False,pagan arabs build kaaba built onemecca pagan arabs build mecca pagan arabs guardians meccan kaabamembers muhammads tribe family pagans guardians kaaba rituals performed muslims today mecca much practiced pagans bfore time muhammad seems muhammad copied pagansbcos adopted kaaba black stone ritual practicespagans never prayed idols,4 years ago,0.0,Ugy29eagnCGD93aKlMJ4AaABAg,0,0.0,2013-12-05 09:16:12.910,gary wersley,jews,[]
7,True,must fun preacher like certified professional trash talker,2 years ago,0.0,UghUgICN2ObNZ3gCoAEC,0,0.0,2015-12-05 04:47:33.441,CHRISTIANNWO,lgbt,[]
Default,False,manning president telling like christie,2 years ago,0.0,UgjMBwwiYUvViHgCoAEC,1,0.0,2015-12-05 04:47:18.516,GlossyShoes,lgbt,[]
9,True,funny read redneck hillbillies comments ’ even use word racist describe ignorant uneducated incest loving country living white redneck pieces shits think ok coward ass police ’ see hill side live negroes waking people based scripture deutoronomy believe white redneck assholes going wish ’ born realize people way treated god ’ chosen people deutoronomy devil worshipping fake jews everything,1 month ago,0.0,UgxabBj9OImMk93efk54AaABAg,0,0.0,2017-11-08 04:45:52.522,Mind Phunk,black,[]
Default,False,turd sucker go hell united snake sodom gomorrahshame shame happen country sad day,2 years ago,0.0,Ughb70FP4TwUoXgCoAEC,3,0.0,2015-12-05 04:47:20.516,Mivek Ener,lgbt,[]
1,True,god desires salvation devil desires damnation anderson making devil god christian says hate x implying hatred accord gods anderson know hatred heart gods heart god reveal hates bruce jenner bible baptists acknowledge source revelation god except bible anderson going beyond scripture hating someone god revealed hates standards anderson wrong hate bruce jenner,11 months ago,1.0,Ughr6vCp2lTeAngCoAEC,1,2.0,2017-01-05 04:45:20.471,James M,lgbt,[]
Default,False,hitler put power jesuits jesuits put bolshevik power overthrow czar create reaction fascism hegelian dialectic,10 months ago,0.0,UgiFjMd5C27tsngCoAEC,0,0.0,2017-03-05 16:23:24.538,Terraconensis,jews,[]
Default,False,cops show guys yelling screaming eachother course cops gon cuff dont know going either violent criminals weapons,2 months ago,0.0,Ugzkq79S65cazyQ3HcB4AaABAg,0,0.0,2017-10-13 05:30:01.974,sactown916,black,[]
Default,False,looks like person respect law argue security refused comply ration move ok move guy wrong respective full,1 month ago,0.0,UgxsC2V_LXAPUVBgL0x4AaABAg,0,0.0,2017-11-08 04:45:51.234,Tom English,black,[]
9,True,nothing wrong people gender facet human point idiot condoning violence upon children children born parents educators society jackholes like asshat video either diminishes lifts childs self worth,4 years ago,0.0,UgxO9MkLUIUKOWaC4Hh4AaABAg,0,0.0,2013-12-05 04:47:42.144,Tia M.,lgbt,[]
9,True,police racists,5 months ago,0.0,UgiOX7l896QZ4ngCoAEC,0,0.0,2017-07-08 04:46:46.798,Fang Tastic,black,[]
5,True,horrible racist,2 years ago,0.0,UghJLYpb-GfDW3gCoAEC,0,0.0,2016-01-05 16:25:57.913,Lisa Jones,jews,[]
Default,False,nothing jews personally anyone criticizes israeli actions days considered antisemitic israel control extremist muslims,3 years ago,1.0,Ugh4B7IrYMC9CngCoAEC,0,1.0,2015-01-05 16:27:10.116,Skr4x,jews,[]
7,True,would like see pastor harris porn collection bet highly illegal,4 years ago,0.0,UgyOVT0nT32O108RSIJ4AaABAg,0,0.0,2013-12-05 04:47:41.100,Milo,lgbt,[]
Default,False,lot people power evil,11 months ago,0.0,Ugi3aNoexU4773gCoAEC,0,0.0,2017-01-05 04:45:20.467,1998fife 24,lgbt,[]
Default,False,haha got love world look redneck talking white america white europe doesnt exist buddy wake smell black porking sister nephews molatto like,10 years ago,0.0,UgzvoY2pDFulKCxtEo94AaABAg,0,0.0,2007-12-05 09:46:42.649,deuce56,jews,[]
Default,False,quran came muhammad pbuh illetrate cycle life goes things america years ago raising cows wearing hats foreward rome persia england countries conquering world high muslims ruled years fall like everyone else us still young coming years fall goes,5 years ago,0.0,Ugyqx32yEodbZKM8_Zh4AaABAg,0,0.0,2012-12-05 09:16:59.226,narutoroxanne22,jews,[]
1,True,creator curse jewsmuhammad muslims today obey muhammadin intolerence jewsmuslims obey creatorbcos sure creator intolerentdoes persecutemuhammad muslims today follow examplethat creator,4 years ago,0.0,Ugznk-ukmCAtbb6riah4AaABAg,0,0.0,2013-12-05 09:16:26.807,gary wersley,jews,[]
Default,False,hello pls dont talk dont know thing ltt indian prime minister rajiv gandhi killed ltt threatened people indian srilanka next thing slaves muhammud whos boxer usa converted islam said muslim slave muslims never ever treated muslims muslims slaves dont know thing islam prophet better stop talking hate talking stupid like,4 years ago,0.0,UgyrLyenRYohay6RoHR4AaABAg,0,0.0,2013-12-05 09:16:28.158,Imran Lalu,jews,[]
9,True,fucken white pigs,5 months ago,0.0,UghHcyDAjr9mQHgCoAEC,0,0.0,2017-07-08 04:46:42.522,Jackthegamer 3D,black,[]
5,True,false propaganda originated hitler fae muslim ummas promoting false propaganda,6 years ago,0.0,Ugwwa3axExFh4YwYMMl4AaABAg,0,0.0,2011-12-05 09:13:21.872,Rupesh Saxena,jews,[]
Default,False,would spas blow brains,3 years ago,0.0,Ugg2DUteYQkNUngCoAEC,0,0.0,2015-01-05 16:27:15.208,Badass MLG 360 no scope Brotherhood of steel Knight,jews,[]
4,True,jew honestly hate word antisemitic coined racist europeans euphemism antijewish racist lets call,3 years ago,1.0,UghsRqti_nLhhXgCoAEC,4,43.0,2015-01-05 16:26:58.104,Beni Habibi,jews,[]
Default,False,bestialityhomosexuality id beat,3 years ago,1.0,UgjkdYQLpzsTpXgCoAEC,0,1.0,2014-12-05 04:47:32.820,BESTIALITY IS THE NEW GAY,lgbt,[]
Default,False,incentive,1 month ago,0.0,UgyJMmRzzCcKuGSY3fN4AaABAg,0,0.0,2017-11-08 04:47:38.159,Araya Pettiford,black,[]
4,True,wan say believe everyone untitled choose life style theyre opinions people ridicule dont agree homosexual marriage christian believe god sent earth punishment mere could handle sake thats belief say homosexual going hell thats place homosexual person homosexuality anyone continues whether lying killing stealing homosexuals adultery doesnt confess sins doesnt try make right wrongs heshe leading path destruction wages death romans,2 years ago,1.0,Ugi1TIOvdctj9HgCoAEC,0,3.0,2015-12-05 04:45:41.817,Noel Contreras,lgbt,[]
Default,False,wold general tarting pistoff bushit religions god close muslin juish,6 years ago,0.0,UgyhVgNPsrloRsDLZfZ4AaABAg,0,0.0,2011-12-05 09:17:36.587,Pastorale1234,jews,[]
